Molecular Weight,Ligand Efficiency BEI,pChEMBL Value,lo10(pChEMBL Value),log10(Ligand Efficiency BEI),Ligand Efficiency BEI/MW
2618.03,1.94,5.07,2.712966659,3.130172889,0.000741015
2510.84,1.95,4.89,2.71051018,3.109784427,0.000776633
3645.25,1.31,4.79,2.881391805,3.444456023,0.000359372
2899.47,2.74,7.96,2.561405552,3.024568057,0.000945
2867.48,2.76,7.92,2.558775216,3.016591315,0.000962518
2949.52,2.7,7.96,2.568838278,3.038387581,0.000915403
2512.9,3.06,7.7,2.513684481,2.91445378,0.001217717
2564,2.83,7.25,2.548580014,2.957131585,0.001103744
2374.73,2.78,6.6,2.556070303,2.931569443,0.001170659
2300.7,3.12,7.19,2.505131102,2.867705398,0.001356109
2427.84,2.88,7,2.540122022,2.925827575,0.00118624
2301.68,2.52,5.8,2.59861695,2.960644403,0.001094852
2417.8,2.77,6.69,2.557994255,2.940940604,0.00114567
2387.82,2.76,6.6,2.55845765,2.937092503,0.001155866
2418.85,2.73,6.6,2.564065002,2.94744629,0.001128636
2434.85,2.71,6.6,2.566928276,2.953502921,0.001113005
2526.9,2.37,6,2.624436805,3.027839709,0.000937908
2851.52,2.3,6.55,2.638835122,3.093348586,0.000806587
2812.38,2.43,6.82,2.615289626,3.063467727,0.000864037
2503.02,2.92,7.32,2.533953239,2.933081468,0.001166591
2345.69,3.12,7.33,2.505166642,2.876116022,0.001330099
2500,2.9,7.25,2.537602002,2.935542011,0.00116
2500.89,2.91,7.28,2.535963211,2.934201601,0.001163586
2433.81,3.01,7.33,2.521182697,2.907720176,0.001236744
2490.95,2.65,6.59,2.577479596,2.973119136,0.001063851
2447.92,2.58,6.32,2.588080142,2.977177515,0.001053956
3844.63,1.94,7.44,2.713281615,3.297052821,0.0005046
3219.88,2.29,7.37,2.640372199,3.148004204,0.000711207
2430.8,3.17,7.7,2.499258503,2.884689965,0.001304097
2519,2.62,6.6,2.581684232,2.982926876,0.001040095
2519,2.62,6.6,2.581684232,2.982926876,0.001040095
2475.89,2.67,6.6,2.57418741,2.967220084,0.0010784
2433.85,2.71,6.6,2.566749873,2.953324518,0.001113462
2385.76,2.77,6.6,2.558082817,2.935146984,0.001161056
2396.79,2.75,6.6,2.560086048,2.94029729,0.001147368
2429.81,2.72,6.6,2.56602838,2.951003411,0.001119429
2382.71,2.77,6.6,2.557527252,2.934591418,0.001162542
2470.96,2.4,5.93,2.619811022,3.012654473,0.000971282
2401.72,2.91,7,2.535424335,2.916629386,0.001211632
2452.87,2.85,7,2.544576492,2.934829672,0.001161904
2461.88,2.84,7,2.54616884,2.93794854,0.00115359
2503.98,2.64,6.6,2.57908692,2.977026929,0.001054322
2401.76,2.75,6.6,2.560985672,2.941196914,0.001144994
